Comment;id;en;fr;de;es;ja
Comment;Identifier;English;Français;German;Español;Japanese
Application name;app_name;OpenFlight;OpenFlight;OpenFlight;OpenFlight;OpenFlight
Application name;app_name_no_version;OpenFlight;OpenFlight;OpenFlight;OpenFlight;OpenFlight
Yes;common_yes;Yes;Oui;Ja;Sí;はい
No;common_no;No;Non;Nein;No;いいえ
Auto;common_auto;Auto;Auto;Automatisch;Auto;自動
Manual;common_manual;Manual;Manuel;Manuell;Manual;マニュアル
Error;error;Error;Erreur;Fehler;Error;エラー
OK;ok;Ok;Ok;OK;Aceptar;Ok
Cancel;cancel;Cancel;Annuler;Abbrechen;Cancelar;キャンセル
Checking…;common_checking;Checking…;Vérification…;Wird geprüft ...;Comprobando...;確認中…
Retry;common_retry;Retry;Recommencer;Erneut versuchen;Reintentar;もう一度
Stop;common_stop;Stop;Stop;Stop;Stop;Stop
Continue;common_continue;Continue;Continuer;Weiter;Continuar;続行
Reset;common_reset;Reset;Réinitialisation;Zurücksetzen;Reiniciar;再起動
Share;common_share;Share;Partager;Share;Share;Share
Download;common_download;Download;Télécharger;Herunterladen;Descargar;ダウンロード
Downloading;common_downloading;Downloading...;Téléchargement...;Downloading...;Downloading...;Downloading...
Delete;common_delete;Delete;Supprimer;Löschen;Borrar;削除する
Keep;common_keep;Keep;Conserver;Beibehalten;Guardar;保存する
Rename;common_rename;Rename;Renommer;Rename;Rename;Rename
Format;common_format;Format;Formater;Format;Format;Format
Min;common_min;Min;Min;Min.;Min;最低
Max;common_max;Max;Max;Max.;Max;最大
Off;common_off;Off;Off;Aus;Off;オフ
On;common_on;On;On;An;On;オン
Pro;common_pro;Pro;Pro;Pro;Pro;プロ
Contact;common_contact;Contact;Contacter;Kontakt;Contacto;連絡先
Options;common_options;Options;Options;Optionen;Opciones;オプション
Infos;common_infos;Info;Infos;Infos;Info;情報
Start tutorial;common_start_tutorial;Start tutorial;Commencer;Tutorial beginnen;Empezar tutorial;チュートリアルを開始
Unavailable;common_unavailable;Unavailable;Indisponible;Nicht verfügbar;No disponible;利用不可
Test;common_test;Test;Tester;Test;Prueba;テスト
Change;common_change;Change;Changer;Ändern;Cambiar;変更
Classic;common_classic;Classic;Classique;Classic;Clásico;クラシック
Connect;connect;Connect;Se connecter;Connect;Connect;Connect
Connecting;connecting;Connecting;Connexion;Connecting;Connecting;Connecting
Connected;connected;Connected;Connecté;Connected;Connected;Connected
Disconnecting;disconnecting;Disconnecting;Déconnexion;Disconnecting;Disconnecting;Disconnecting
Disconnected;disconnected;Disconnected;Déconnecté;Disconnected;Disconnected;Disconnected
Mode;common_mode;Mode;Mode;Mode;Mode;Mode
Speed;common_speed;Speed;Vitesse;Geschwindigkeit;Velocidad;速度
Done;common_done;Done;Terminé;Done;Done;Done
Preset;common_preset;Preset;Preset;Preset;Preset;Preset
Presets;common_presets;Presets;Presets;Presets;Presets;Presets
Warning;common_warning;Warning;Attention;Warning;Warning;Warning
Undo;common_undo;Undo;Annuler;Undo;Undo;Undo
Style;common_style;Style;Style;Style;Style;Style
Distance;common_distance;Distance;Distance;Entfernung;Distancia;距離
Duration;common_duration;Duration;Durée;Dauer;Duración;期間
Memory;common_memory;Memory;Mémoire;Memory;Memory;Memory
Flight Plan;common_flight_plan;Flight Plan;Flight Plan;Flight Plan;Flight Plan;Flight Plan
Edit;common_edit;Edit;Editer;Edit;Edit;Edit
Later;common_later;Later;Plus tard;Later;Later;Later
Log in;common_log_in;Log in;Se connecter;Log in;Log in;Log in
Yesterday;common_yesterday;Yesterday;Hier;Yesterday;Yesterday;Yesterday
Today;common_today;Today;Aujourd'hui;Today;Today;Today
Email;common_email;Email;Email;Email;Email;Email
Password;common_password;Password;Mot de passe;Password;Password;Password
Discard;common_discard;Discard;Ignorer;Discard;Discard;Discard
Select;common_select;Select;Sélectionner;Select;Select;Select
Select All;common_select_all;Select All;Tout sélectionner;Select All;Select All;Select All
Deselect All;common_deselect_all;Deselect All;Tout désélectionner;Deselect All;Deselect All;Deselect All
Offline;common_offline;Offline;Déconnecté;Offline;Offline;Offline
Go;common_go;Go;Go;Go;Go;Go
POI;common_poi;POI;POI;POI;POI;POI
Waypoint;common_waypoint;Waypoint;Waypoint;Waypoint;Waypoint;Waypoint
Action;common_action;Action;Action;Action;Action;Action
Choose;common_choose;Choose;Choisir;Choose;Choose;Choose
No GPS;common_no_gps;No GPS;Pas de GPS;No GPS;No GPS;No GPS
SD Error;common_sd_error;SD Error;Erreur SD;SD Error;SD Error;SD Error
SD Full;common_sd_error_full;SD full;SD pleine;SD full;SD full;SD full
SD Busy;common_sd_error_busy;SD busy;SD occupée;SD ist beschäftigt;Tarjeta SD ocupada;SDビジー状態
Free;common_free;free;libre;kostenlos;libre;無料
Placeholder Photo (single);common_photo_placeholder;%s photo;%s photo;%s photo;%s photo;%s photo
Placeholder Photo (plural);common_photo_placeholder_plural;%s photos;%s photos;%s photos;%s photos;%s photos
Placeholder Video (single);common_video_placeholder;%s video;%s video;%s video;%s video;%s video
Placeholder Video (plural);common_video_placeholder_plural;%s videos;%s videos;%s videos;%s videos;%s videos
Multi selection (single);common_selected;%s selected;%s sélectionné(e);%s selected;%s selected;%s selected
Multi selection (plural);common_selected_plural;%s selected;%s sélectionné(e)s;%s selected;%s selected;%s selected
Fly;common_fly;Fly;Fly;Fly;Fly;Fly
Piloting;common_piloting;Piloting;Piloter;Piloting;Piloting;Piloting
Available;common_available;Available;Disponible;Available;Available;Available
Ready;common_ready;Ready;Prêt;Ready;Ready;Ready
Start;common_start;Start;Commencer;Start;Start;Start
Handland;common_handland;Handland;Handland;Handland;Handland;Handland
Handlaunch;common_handlaunch;Handlaunch;Handlaunch;Handlaunch;Handlaunch;Handlaunch
Return Home;common_return_home;Return Home;Return Home;Return Home;Return Home;Return Home
Not specified;common_not_specified;Not specified;Non spécifié;Not specified;Not specified;Not specified
No internet connection;common_no_internet_connection;No internet connection;Pas de connexion internet;No internet connection;No internet connection;No internet connection
Active;common_active;Active;Actif;Active;Active;Active
Connection state;common_connection_state;Connection State;État de la connexion;Connection State;Connection State;Connection State
Défaut;common_default;Default;Défaut;Standard;Defecto;デフォルト
Hovering;common_hovering;Hovering;Vol stationnaire;Hovering;Hovering;Hovering
Forget;common_forget;Forget;Oublier;Forget;Forget;Forget
Landing;common_landing;Landing;Atterrissage;Landing;Landing;Landing
Common Start Mission;common_mission_start;Start mission;Démarrer la mission;Start mission;Start mission;Start mission
Export;common_export;Export;Exporter;Export;Export;Export
Share to support;common_share_support;Share to support;Partager avec le support;Share to support;Share to support;Share to support
Recommended;common_recommended;Recommended;Recommandé;Recommended;Recommended;Recommended
Required;common_required;Required;Requise;Required;Required;Required
Advised;common_advised;Advised;Conseillée;Advised;Advised;Advised
Downloaded;common_downloaded;Downloaded;Téléchargé;Downloaded;Downloaded;Downloaded
Or;common_or;or;ou;or;or;or
App;common_app;App;App;App;App;App
Controller;common_controller;Controller;Contrôleur;Controller;Controller;Controller
Drone;common_drone;Drone;Drone;Drone;Drone;Drone
Drone not connected;common_drone_not_connected;Drone not connected;Drone non connecté;Drone not connected;Drone not connected;Drone not connected
Not connected;common_not_connected;Not connected;Non connecté;Not connected;Not connected;Not connected
Confirmation;common_confirmation;Confirmation;Confirmation;Confirmation;Confirmation;Confirmation
Image;common_image;Image;Image;Image;Image;Image
Save;common_save;Save;Sauvegarder;Save;Save;Save
Do not save;common_do_not_save;Do not save;Ne pas sauvegarder;Do not save;Do not save;Do not save
Product reference;common_product_reference;Product reference;Référence du produit;Product reference;Product reference;Product reference
Battery - Total capacity;battery_total_capacity;Total Capacity;Capacité totale;Total Capacity;Total Capacity;Total Capacity
Battery - Health;battery_health;State of health;Etat de santé;State of health;State of health;State of health
Battery - Cycles;battery_cycles;Cycles;Cycles;Cycles;Cycles;Cycles
Battery - Temperature;battery_temperature;Temperature;Température;Temperature;Temperature;Temperature
Battery - Serial Number;battery_serial_number;Serial number;Numéro de série;Serial number;Serial number;Serial number
Battery - Total usage time;battery_total_usage_time;Total usage time;Temps total d'utilisation;Total usage time;Total usage time;Total usage time
Battery - First usage;battery_first_usage;First usage;Première utilisation;First usage;First usage;First usage
Battery - Configuration date;battery_configuration_date;Configuration date;Date de configuration;Configuration date;Configuration date;Configuration date
Battery - Battery;battery;Battery;Batterie;Battery;Battery;Battery
Battery - Battery information;battery_information;Battery information;Informations batterie;Battery information;Battery information;Battery information
Battery - Battery cell 1;battery_cell_1;Cell 1;Cellule 1;Cell 1;Cell 1;Cell 1
Battery - Battery cell 2;battery_cell_2;Cell 2;Cellule 2;Cell 2;Cell 2;Cell 2
Battery - Battery cell 3;battery_cell_3;Cell 3;Cellule 3;Cell 3;Cell 3;Cell 3
Battery - Voltage;battery_voltage;Voltage;Tension;Voltage;Voltage;Voltage
Battery - Software version;battery_software_version;Software version;Version logicielle;Software version;Software version;Software version
